n,stage,scalar,scalar_parallel,simd,simd_generic,simd_parallel,grid,grid_parallel,timestamp
8,prep,0.0,0.05,0.0,0.0,0.06,0.0,0.08,2026_01_13__22_36_36__81396540
8,full,0.02,0.14,0.01,0.02,0.23,0.02,0.25,2026_01_13__22_36_36__81396540
9,prep,0.01,0.06,0.0,0.01,0.08,0.01,0.09,2026_01_13__22_36_36__81396540
9,full,0.04,0.18,0.02,0.03,0.25,0.02,0.33,2026_01_13__22_36_36__81396540
10,prep,0.02,0.07,0.01,0.01,0.08,0.01,0.09,2026_01_13__22_36_36__81396540
10,full,0.07,0.25,0.03,0.05,0.36,0.04,0.39,2026_01_13__22_36_36__81396540
12,prep,0.08,0.12,0.03,0.05,0.12,0.04,0.11,2026_01_13__22_36_36__81396540
12,full,0.33,0.46,0.11,0.22,0.52,0.12,0.59,2026_01_13__22_36_36__81396540
14,prep,0.36,0.26,0.14,0.22,0.22,0.31,0.18,2026_01_13__22_36_36__81396540
14,full,1.65,1.14,0.55,1.14,0.89,0.76,0.78,2026_01_13__22_36_36__81396540
16,prep,1.65,0.7,0.63,0.97,0.45,1.33,0.34,2026_01_13__22_36_36__81396540
16,full,8.23,3.56,2.56,5.68,1.84,3.35,1.58,2026_01_13__22_36_36__81396540
18,prep,7.43,2.96,2.88,4.53,2.36,5.68,0.99,2026_01_13__22_36_36__81396540
18,full,40.73,15.01,11.91,29.11,5.72,15.01,4.29,2026_01_13__22_36_36__81396540
20,prep,33.15,12.48,13.41,20.52,8.43,24.3,4.17,2026_01_13__22_36_36__81396540
20,full,195.28,65.91,61.63,144.49,24.89,74.4,16.28,2026_01_13__22_36_36__81396540
22,prep,,,64.71,,36.0,111.14,30.65,2026_01_13__22_36_36__81396540
22,full,,,324.67,,134.41,385.93,121.25,2026_01_13__22_36_36__81396540
24,prep,,,276.25,,143.5,465.64,129.4,2026_01_13__22_36_36__81396540
24,full,,,1577.3,,600.51,1831.37,541.17,2026_01_13__22_36_36__81396540
