n,scalar,simd,simd_fused,simd_parallel,grid,grid_fused,grid_parallel,grid_parallel_fused,qiskit_r_o3,timestamp
3,0.0,0.0,0.02,0.05,0.0,0.0,0.05,0.01,4.15,2026_01_16__11_32_14__41534078
5,0.0,0.0,0.04,0.09,0.01,0.01,0.12,0.09,0.93,2026_01_16__11_32_14__41534078
7,0.01,0.01,0.09,0.2,0.01,0.02,0.18,0.15,1.26,2026_01_16__11_32_14__41534078
9,0.04,0.02,0.22,0.25,0.02,0.04,0.43,0.19,1.76,2026_01_16__11_32_14__41534078
11,0.16,0.06,0.38,0.6,0.06,0.08,0.55,0.27,2.45,2026_01_16__11_32_14__41534078
13,0.76,0.24,1.15,0.69,0.22,0.22,0.79,0.36,3.76,2026_01_16__11_32_14__41534078
15,3.6,1.14,4.09,1.06,1.08,0.85,0.96,0.61,11.34,2026_01_16__11_32_14__41534078
17,17.6,5.28,15.15,4.63,4.98,4.01,1.88,1.32,16.7,2026_01_16__11_32_14__41534078
19,86.42,25.2,64.43,8.07,24.12,19.2,5.9,5.07,41.19,2026_01_16__11_32_14__41534078
21,,,,44.97,,,41.9,33.92,141.4,2026_01_16__11_32_14__41534078
23,,,,239.0,,,235.26,189.22,571.0,2026_01_16__11_32_14__41534078
25,,,,1061.41,,,1011.73,778.89,2590.93,2026_01_16__11_32_14__41534078
