n,stage,scalar,scalar_parallel,simd,simd_generic,simd_parallel,grid,grid_fused,grid_parallel,grid_parallel_fused,timestamp
8,prep,0.01,0.06,0.0,0.0,0.06,0.0,0.01,0.07,0.04,2026_01_16__11_24_58__41098341
8,full,0.02,0.21,0.01,0.02,0.24,0.02,0.03,0.39,0.18,2026_01_16__11_24_58__41098341
9,prep,0.01,0.07,0.0,0.01,0.11,0.01,0.01,0.14,0.06,2026_01_16__11_24_58__41098341
9,full,0.04,0.18,0.02,0.03,0.37,0.02,0.04,1.01,0.26,2026_01_16__11_24_58__41098341
10,prep,0.02,0.1,0.01,0.01,0.15,0.01,0.01,0.11,0.05,2026_01_16__11_24_58__41098341
10,full,0.07,0.32,0.03,0.05,0.66,0.04,0.05,0.65,0.22,2026_01_16__11_24_58__41098341
12,prep,0.08,0.13,0.03,0.05,0.13,0.03,0.03,0.16,0.08,2026_01_16__11_24_58__41098341
12,full,0.34,0.49,0.11,0.22,0.71,0.11,0.13,0.71,0.36,2026_01_16__11_24_58__41098341
14,prep,0.36,0.37,0.15,0.23,0.24,0.16,0.11,0.28,0.17,2026_01_16__11_24_58__41098341
14,full,1.61,1.18,0.55,1.16,1.12,0.52,0.44,0.81,0.46,2026_01_16__11_24_58__41098341
16,prep,1.66,0.72,0.62,0.96,0.33,0.71,0.46,0.6,0.4,2026_01_16__11_24_58__41098341
16,full,7.96,3.55,2.48,5.43,1.38,2.31,1.74,1.14,0.79,2026_01_16__11_24_58__41098341
18,prep,7.13,2.94,2.79,4.38,1.26,3.09,2.24,0.65,1.07,2026_01_16__11_24_58__41098341
18,full,38.73,14.63,11.47,27.97,4.14,10.86,8.83,3.24,2.43,2026_01_16__11_24_58__41098341
20,prep,32.43,12.23,13.12,20.12,6.36,14.97,11.24,2.57,2.02,2026_01_16__11_24_58__41098341
20,full,189.03,62.92,58.75,140.98,18.57,58.07,44.34,11.28,9.78,2026_01_16__11_24_58__41098341
22,prep,,,60.29,,29.75,67.71,46.36,24.92,17.84,2026_01_16__11_24_58__41098341
22,full,,,296.5,,115.4,295.88,193.33,105.59,82.14,2026_01_16__11_24_58__41098341
24,prep,,,270.84,,120.25,297.88,209.0,106.63,73.23,2026_01_16__11_24_58__41098341
24,full,,,1520.85,,503.9,1543.54,1025.22,477.94,372.0,2026_01_16__11_24_58__41098341
