n,stage,scalar,scalar_parallel,simd,simd_generic,simd_parallel,grid,grid_fused,grid_parallel,grid_parallel_fused,timestamp
8,prep,0.01,0.06,0.0,0.0,0.06,0.0,0.01,0.12,0.05,2026_01_15__23_11_58__83518046
8,full,0.02,0.16,0.01,0.02,0.27,0.02,0.03,0.22,0.16,2026_01_15__23_11_58__83518046
9,prep,0.01,0.06,0.0,0.01,0.09,0.01,0.01,0.11,0.05,2026_01_15__23_11_58__83518046
9,full,0.04,0.27,0.02,0.03,0.35,0.02,0.04,0.36,0.21,2026_01_15__23_11_58__83518046
10,prep,0.02,0.08,0.01,0.01,0.09,0.01,0.01,0.11,0.06,2026_01_15__23_11_58__83518046
10,full,0.07,0.28,0.03,0.05,0.36,0.04,0.05,0.52,0.27,2026_01_15__23_11_58__83518046
12,prep,0.08,0.16,0.03,0.05,0.11,0.03,0.03,0.16,0.06,2026_01_15__23_11_58__83518046
12,full,0.34,0.72,0.12,0.22,0.5,0.11,0.12,0.55,0.35,2026_01_15__23_11_58__83518046
14,prep,0.36,0.28,0.14,0.22,0.2,0.16,0.11,0.18,0.08,2026_01_15__23_11_58__83518046
14,full,1.64,1.38,0.56,1.14,0.82,0.52,0.42,0.89,0.44,2026_01_15__23_11_58__83518046
16,prep,1.65,0.81,0.67,1.0,0.81,0.72,0.48,0.57,0.45,2026_01_15__23_11_58__83518046
16,full,8.38,5.47,2.56,5.66,1.53,2.39,1.76,1.19,0.78,2026_01_15__23_11_58__83518046
18,prep,7.24,2.89,2.86,4.47,1.16,3.15,2.3,0.66,0.47,2026_01_15__23_11_58__83518046
18,full,39.52,14.57,11.71,28.56,4.0,11.15,8.98,2.92,2.17,2026_01_15__23_11_58__83518046
20,prep,32.75,12.03,13.17,20.27,8.14,14.65,10.41,2.54,2.12,2026_01_15__23_11_58__83518046
20,full,192.05,62.84,59.35,141.96,20.75,57.93,41.53,13.45,11.65,2026_01_15__23_11_58__83518046
22,prep,,,60.93,,30.71,68.46,49.02,25.87,17.51,2026_01_15__23_11_58__83518046
22,full,,,299.67,,114.15,301.32,205.73,107.79,83.16,2026_01_15__23_11_58__83518046
24,prep,,,273.76,,119.71,293.36,213.4,109.07,76.02,2026_01_15__23_11_58__83518046
24,full,,,1525.14,,503.38,1541.57,1027.86,474.09,367.57,2026_01_15__23_11_58__83518046
