n,stage,scalar,scalar_parallel,simd,simd_generic,simd_parallel,grid,grid_parallel,timestamp
8,prep,0.01,0.05,0.0,0.0,0.07,0.0,0.08,2026_01_15__15_03_59__54239557
8,full,0.02,0.17,0.02,0.02,0.24,0.02,0.25,2026_01_15__15_03_59__54239557
9,prep,0.01,0.14,0.01,0.01,0.25,0.01,0.1,2026_01_15__15_03_59__54239557
9,full,0.04,0.19,0.02,0.03,0.33,0.02,0.52,2026_01_15__15_03_59__54239557
10,prep,0.02,0.08,0.01,0.01,0.13,0.01,0.22,2026_01_15__15_03_59__54239557
10,full,0.07,0.29,0.03,0.05,0.37,0.04,0.45,2026_01_15__15_03_59__54239557
12,prep,0.08,0.15,0.03,0.05,0.12,0.03,0.13,2026_01_15__15_03_59__54239557
12,full,0.32,0.51,0.12,0.22,0.51,0.11,0.54,2026_01_15__15_03_59__54239557
14,prep,0.36,0.28,0.15,0.21,0.2,0.31,0.18,2026_01_15__15_03_59__54239557
14,full,1.64,1.26,0.53,1.15,0.96,0.74,0.84,2026_01_15__15_03_59__54239557
16,prep,1.62,0.72,0.62,0.97,0.48,1.3,0.33,2026_01_15__15_03_59__54239557
16,full,8.03,3.52,2.47,5.46,1.45,3.25,1.5,2026_01_15__15_03_59__54239557
18,prep,7.17,3.08,2.79,4.38,1.76,5.48,0.99,2026_01_15__15_03_59__54239557
18,full,39.1,14.96,11.68,28.41,5.04,14.57,3.76,2026_01_15__15_03_59__54239557
20,prep,32.6,12.64,13.57,20.3,8.27,23.64,4.15,2026_01_15__15_03_59__54239557
20,full,193.15,64.84,59.02,140.21,21.53,71.65,15.65,2026_01_15__15_03_59__54239557
22,prep,,,60.33,,30.26,104.36,28.34,2026_01_15__15_03_59__54239557
22,full,,,296.71,,115.41,351.45,112.64,2026_01_15__15_03_59__54239557
24,prep,,,271.58,,121.75,446.55,121.25,2026_01_15__15_03_59__54239557
24,full,,,1514.01,,512.91,1772.31,524.57,2026_01_15__15_03_59__54239557
