n,stage,scalar,scalar_parallel,simd,simd_generic,simd_parallel,grid,grid_parallel,timestamp
8,prep,0.01,0.06,0.0,0.0,0.07,0.0,0.08,2026_01_15__22_12_14__79934579
8,full,0.02,0.21,0.01,0.02,0.32,0.02,0.4,2026_01_15__22_12_14__79934579
9,prep,0.01,0.08,0.0,0.01,0.15,0.01,0.11,2026_01_15__22_12_14__79934579
9,full,0.04,0.28,0.02,0.03,0.4,0.02,0.53,2026_01_15__22_12_14__79934579
10,prep,0.02,0.09,0.01,0.01,0.18,0.01,0.14,2026_01_15__22_12_14__79934579
10,full,0.07,0.3,0.03,0.05,0.56,0.04,0.75,2026_01_15__22_12_14__79934579
12,prep,0.08,0.13,0.03,0.05,0.13,0.03,0.16,2026_01_15__22_12_14__79934579
12,full,0.32,0.68,0.11,0.23,0.52,0.11,0.6,2026_01_15__22_12_14__79934579
14,prep,0.36,0.4,0.14,0.22,0.28,0.15,0.17,2026_01_15__22_12_14__79934579
14,full,1.62,1.41,0.55,1.15,1.1,0.53,0.95,2026_01_15__22_12_14__79934579
16,prep,1.64,0.71,0.64,0.97,0.34,0.7,0.3,2026_01_15__22_12_14__79934579
16,full,8.0,5.1,2.48,5.48,1.43,2.36,1.85,2026_01_15__22_12_14__79934579
18,prep,7.14,2.96,2.82,4.38,1.46,3.06,0.64,2026_01_15__22_12_14__79934579
18,full,38.75,15.04,11.65,28.04,4.52,10.93,3.39,2026_01_15__22_12_14__79934579
20,prep,32.3,12.44,13.44,20.34,6.92,14.5,2.38,2026_01_15__22_12_14__79934579
20,full,189.73,64.6,58.94,142.44,18.26,58.08,13.76,2026_01_15__22_12_14__79934579
22,prep,,,60.88,,30.58,66.22,23.34,2026_01_15__22_12_14__79934579
22,full,,,298.99,,113.01,299.9,102.84,2026_01_15__22_12_14__79934579
24,prep,,,274.72,,125.64,296.53,105.65,2026_01_15__22_12_14__79934579
24,full,,,1525.5,,507.08,1540.7,479.69,2026_01_15__22_12_14__79934579
