n,stage,scalar,scalar_parallel,simd,simd_generic,simd_parallel,grid,grid_parallel,timestamp
8,prep,0.01,0.06,0.0,0.0,0.07,0.0,0.09,2026_01_15__20_51_13__75073004
8,full,0.02,0.17,0.01,0.02,0.4,0.02,0.61,2026_01_15__20_51_13__75073004
9,prep,0.01,0.06,0.0,0.01,0.1,0.02,0.17,2026_01_15__20_51_13__75073004
9,full,0.04,0.27,0.02,0.03,0.28,0.02,0.46,2026_01_15__20_51_13__75073004
10,prep,0.02,0.14,0.01,0.01,0.1,0.01,0.12,2026_01_15__20_51_13__75073004
10,full,0.07,0.28,0.03,0.05,0.44,0.04,0.43,2026_01_15__20_51_13__75073004
12,prep,0.08,0.12,0.03,0.05,0.13,0.04,0.13,2026_01_15__20_51_13__75073004
12,full,0.32,0.61,0.11,0.22,0.61,0.11,0.54,2026_01_15__20_51_13__75073004
14,prep,0.35,0.28,0.14,0.21,0.21,0.3,0.25,2026_01_15__20_51_13__75073004
14,full,1.64,1.2,0.54,1.12,0.86,0.76,1.0,2026_01_15__20_51_13__75073004
16,prep,1.62,0.76,0.62,0.98,0.35,1.28,0.37,2026_01_15__20_51_13__75073004
16,full,7.96,3.74,2.47,5.51,1.5,3.25,1.45,2026_01_15__20_51_13__75073004
18,prep,7.2,3.6,2.96,4.42,1.27,5.49,0.99,2026_01_15__20_51_13__75073004
18,full,38.96,15.16,11.8,28.49,5.2,14.96,5.65,2026_01_15__20_51_13__75073004
20,prep,32.42,12.56,13.32,20.32,7.24,23.92,5.69,2026_01_15__20_51_13__75073004
20,full,190.3,63.46,59.1,141.64,20.19,71.41,14.91,2026_01_15__20_51_13__75073004
22,prep,,,59.81,,30.54,104.88,29.16,2026_01_15__20_51_13__75073004
22,full,,,303.34,,112.36,367.58,139.24,2026_01_15__20_51_13__75073004
24,prep,,,276.01,,124.64,451.62,125.54,2026_01_15__20_51_13__75073004
24,full,,,1561.01,,609.01,1776.37,496.28,2026_01_15__20_51_13__75073004
