n,scalar,simd,simd_fused,simd_parallel,grid,grid_fused,grid_parallel,grid_parallel_fused,qiskit_r_o3,timestamp
3,0.0,0.0,0.02,0.04,0.0,0.0,0.08,0.01,4.07,2026_01_15__23_10_08__83408200
5,0.0,0.0,0.04,0.09,0.01,0.01,0.1,0.08,0.89,2026_01_15__23_10_08__83408200
7,0.01,0.01,0.1,0.26,0.01,0.02,0.21,0.33,1.16,2026_01_15__23_10_08__83408200
9,0.03,0.02,0.17,0.38,0.02,0.04,0.44,0.42,1.65,2026_01_15__23_10_08__83408200
11,0.15,0.06,0.35,0.53,0.06,0.08,0.62,0.28,2.31,2026_01_15__23_10_08__83408200
13,0.74,0.24,0.99,0.73,0.23,0.22,0.86,0.37,3.5,2026_01_15__23_10_08__83408200
15,3.59,1.14,4.18,1.63,1.12,0.88,1.48,0.89,10.2,2026_01_15__23_10_08__83408200
17,17.62,5.33,15.21,2.51,5.08,4.04,1.8,1.23,16.52,2026_01_15__23_10_08__83408200
19,86.56,24.91,64.26,7.46,23.93,18.56,5.39,4.54,40.06,2026_01_15__23_10_08__83408200
21,,,,47.4,,,43.82,34.13,138.96,2026_01_15__23_10_08__83408200
23,,,,237.81,,,229.62,176.92,579.61,2026_01_15__23_10_08__83408200
25,,,,1081.82,,,1020.95,780.99,2546.05,2026_01_15__23_10_08__83408200
