n,stage,scalar,scalar_parallel,simd,simd_generic,simd_parallel,grid,grid_fused,grid_parallel,grid_parallel_fused,timestamp
8,prep,0.01,0.05,0.0,0.0,0.06,0.0,0.01,0.12,0.06,2026_01_15__22_25_03__80703580
8,full,0.02,0.2,0.01,0.02,0.24,0.02,0.03,0.45,0.18,2026_01_15__22_25_03__80703580
9,prep,0.01,0.06,0.0,0.01,0.07,0.01,0.01,0.08,0.08,2026_01_15__22_25_03__80703580
9,full,0.04,0.21,0.02,0.03,0.4,0.02,0.04,0.54,0.21,2026_01_15__22_25_03__80703580
10,prep,0.02,0.1,0.01,0.01,0.1,0.01,0.01,0.1,0.05,2026_01_15__22_25_03__80703580
10,full,0.07,0.32,0.03,0.05,0.46,0.04,0.06,0.44,0.29,2026_01_15__22_25_03__80703580
12,prep,0.08,0.16,0.03,0.05,0.21,0.03,0.03,0.18,0.09,2026_01_15__22_25_03__80703580
12,full,0.33,0.55,0.11,0.22,0.69,0.11,0.12,0.56,0.32,2026_01_15__22_25_03__80703580
14,prep,0.36,0.38,0.15,0.22,0.26,0.16,0.11,0.36,0.12,2026_01_15__22_25_03__80703580
14,full,1.64,1.24,0.54,1.14,0.88,0.53,0.43,1.07,0.45,2026_01_15__22_25_03__80703580
16,prep,1.65,0.72,0.64,0.98,0.34,0.7,0.48,0.58,0.15,2026_01_15__22_25_03__80703580
16,full,8.08,3.52,2.53,5.52,1.45,2.39,1.76,1.32,0.76,2026_01_15__22_25_03__80703580
18,prep,7.21,2.87,2.83,4.46,1.72,3.11,2.31,0.66,0.46,2026_01_15__22_25_03__80703580
18,full,39.11,14.62,11.63,28.36,4.16,11.04,8.79,2.98,3.73,2026_01_15__22_25_03__80703580
20,prep,32.83,12.1,13.3,20.49,7.38,16.15,11.76,2.44,1.94,2026_01_15__22_25_03__80703580
20,full,192.11,63.76,59.55,143.09,18.89,60.22,43.49,11.54,9.51,2026_01_15__22_25_03__80703580
22,prep,,,60.78,,30.76,70.81,53.01,25.49,17.34,2026_01_15__22_25_03__80703580
22,full,,,305.11,,114.41,303.64,221.81,106.81,83.55,2026_01_15__22_25_03__80703580
24,prep,,,274.95,,120.98,299.8,199.08,106.79,72.28,2026_01_15__22_25_03__80703580
24,full,,,1525.96,,502.69,1542.78,949.66,477.48,365.36,2026_01_15__22_25_03__80703580
