n,scalar,simd,simd_fused,simd_parallel,grid,grid_fused,grid_parallel,grid_parallel_fused,qiskit_r_o3,timestamp
3,0.0,0.0,0.02,0.04,0.0,0.0,0.05,0.01,4.29,2026_01_15__15_08_18__54498254
5,0.0,0.0,0.04,0.1,0.01,0.01,0.12,0.09,1.07,2026_01_15__15_08_18__54498254
7,0.01,0.01,0.09,0.19,0.01,0.02,0.23,0.17,1.42,2026_01_15__15_08_18__54498254
9,0.04,0.02,0.17,0.28,0.02,0.04,0.37,0.21,2.02,2026_01_15__15_08_18__54498254
11,0.15,0.06,0.34,0.49,0.07,0.08,0.47,0.28,2.83,2026_01_15__15_08_18__54498254
13,0.73,0.23,1.03,0.6,0.24,0.24,0.64,0.39,4.18,2026_01_15__15_08_18__54498254
15,3.61,1.16,4.23,1.18,1.56,1.3,1.08,0.65,10.82,2026_01_15__15_08_18__54498254
17,17.75,5.29,15.14,2.4,6.81,5.84,2.1,1.57,17.74,2026_01_15__15_08_18__54498254
19,85.73,25.12,64.7,8.87,31.6,26.98,7.02,5.96,41.63,2026_01_15__15_08_18__54498254
21,,,,46.77,,,44.45,35.94,139.27,2026_01_15__15_08_18__54498254
23,,,,243.66,,,240.39,188.08,575.75,2026_01_15__15_08_18__54498254
25,,,,1082.6,,,1061.33,821.11,2432.71,2026_01_15__15_08_18__54498254
