n,stage,scalar,scalar_parallel,simd,simd_generic,simd_parallel,grid,grid_fused,grid_parallel,grid_parallel_fused,timestamp
8,prep,0.01,0.06,0.0,0.01,0.06,0.01,0.01,0.07,0.07,2026_02_06__21_58_29__79109508
8,full,0.02,0.2,0.02,0.02,0.25,0.02,0.04,0.26,0.3,2026_02_06__21_58_29__79109508
9,prep,0.01,0.08,0.01,0.01,0.09,0.01,0.01,0.13,0.06,2026_02_06__21_58_29__79109508
9,full,0.04,0.28,0.03,0.03,0.3,0.03,0.05,0.31,0.29,2026_02_06__21_58_29__79109508
10,prep,0.02,0.09,0.01,0.01,0.1,0.01,0.01,0.1,0.05,2026_02_06__21_58_29__79109508
10,full,0.08,0.32,0.04,0.06,0.39,0.04,0.06,0.37,0.27,2026_02_06__21_58_29__79109508
12,prep,0.08,0.13,0.03,0.05,0.11,0.03,0.03,0.12,0.05,2026_02_06__21_58_29__79109508
12,full,0.34,0.62,0.12,0.23,0.54,0.12,0.13,0.74,0.32,2026_02_06__21_58_29__79109508
14,prep,0.36,0.34,0.14,0.21,0.21,0.16,0.11,0.18,0.08,2026_02_06__21_58_29__79109508
14,full,1.64,1.28,0.56,1.13,0.94,0.52,0.43,0.91,0.48,2026_02_06__21_58_29__79109508
16,prep,1.64,0.72,0.62,0.96,0.34,0.69,0.45,0.26,0.16,2026_02_06__21_58_29__79109508
16,full,8.07,3.64,2.48,5.49,1.41,2.34,1.76,1.25,0.85,2026_02_06__21_58_29__79109508
18,prep,7.24,2.86,2.81,4.43,1.86,3.09,2.29,0.65,0.47,2026_02_06__21_58_29__79109508
18,full,38.98,14.66,11.59,28.41,5.7,11.13,8.77,3.43,2.54,2026_02_06__21_58_29__79109508
20,prep,33.39,12.09,13.24,20.42,6.85,15.87,11.55,2.92,2.03,2026_02_06__21_58_29__79109508
20,full,189.26,63.16,59.18,142.71,21.12,59.7,43.36,12.64,10.68,2026_02_06__21_58_29__79109508
22,prep,,,61.71,,31.06,67.56,47.62,24.78,16.76,2026_02_06__21_58_29__79109508
22,full,,,304.53,,113.81,304.37,204.08,105.95,82.85,2026_02_06__21_58_29__79109508
24,prep,,,273.22,,122.3,307.85,212.27,112.15,78.21,2026_02_06__21_58_29__79109508
24,full,,,1527.2,,510.38,1556.51,966.08,489.42,381.46,2026_02_06__21_58_29__79109508
