n,stage,scalar,scalar_parallel,simd,simd_generic,simd_parallel,grid,grid_fused,grid_parallel,grid_parallel_fused,timestamp
8,prep,0.01,0.06,0.0,0.01,0.07,0.01,0.01,0.08,0.04,2026_02_06__22_17_06__80226433
8,full,0.03,0.2,0.02,0.02,0.24,0.02,0.04,0.26,0.18,2026_02_06__22_17_06__80226433
9,prep,0.01,0.08,0.01,0.01,0.09,0.01,0.01,0.09,0.05,2026_02_06__22_17_06__80226433
9,full,0.04,0.28,0.03,0.04,0.29,0.03,0.05,0.34,0.26,2026_02_06__22_17_06__80226433
10,prep,0.02,0.08,0.01,0.01,0.08,0.01,0.01,0.15,0.04,2026_02_06__22_17_06__80226433
10,full,0.08,0.3,0.04,0.06,0.37,0.05,0.07,0.41,0.25,2026_02_06__22_17_06__80226433
12,prep,0.08,0.13,0.03,0.05,0.12,0.04,0.03,0.13,0.06,2026_02_06__22_17_06__80226433
12,full,0.35,0.54,0.13,0.23,0.53,0.13,0.14,0.57,0.32,2026_02_06__22_17_06__80226433
14,prep,0.36,0.26,0.14,0.22,0.21,0.16,0.11,0.2,0.15,2026_02_06__22_17_06__80226433
14,full,1.68,1.21,0.55,1.15,0.9,0.54,0.45,1.03,0.52,2026_02_06__22_17_06__80226433
16,prep,1.65,0.71,0.62,0.95,0.37,0.68,0.45,0.27,0.2,2026_02_06__22_17_06__80226433
16,full,8.02,3.71,2.49,5.52,1.45,2.39,1.78,1.22,0.84,2026_02_06__22_17_06__80226433
18,prep,7.24,2.88,2.85,4.45,1.33,3.12,2.26,0.65,0.46,2026_02_06__22_17_06__80226433
18,full,38.93,14.63,11.7,28.51,4.54,11.62,8.78,5.12,6.72,2026_02_06__22_17_06__80226433
20,prep,33.49,11.94,13.24,20.36,7.97,14.67,10.43,2.9,2.2,2026_02_06__22_17_06__80226433
20,full,190.59,62.41,59.38,142.9,19.6,58.01,41.66,13.22,10.64,2026_02_06__22_17_06__80226433
22,prep,,,61.46,,30.31,70.32,51.44,24.83,17.11,2026_02_06__22_17_06__80226433
22,full,,,303.71,,113.46,307.05,226.51,105.22,82.68,2026_02_06__22_17_06__80226433
24,prep,,,273.04,,120.52,296.28,214.76,109.86,74.78,2026_02_06__22_17_06__80226433
24,full,,,1521.17,,507.72,1534.9,1019.42,482.82,373.36,2026_02_06__22_17_06__80226433
