n,stage,scalar,scalar_parallel,simd,simd_generic,simd_parallel,grid,grid_fused,grid_parallel,grid_parallel_fused,timestamp
8,prep,0.01,0.05,0.0,0.01,0.07,0.01,0.01,0.08,0.04,2026_02_06__21_48_10__78490514
8,full,0.02,0.15,0.02,0.02,0.25,0.02,0.04,0.3,0.17,2026_02_06__21_48_10__78490514
9,prep,0.01,0.06,0.01,0.01,0.23,0.01,0.01,0.18,0.04,2026_02_06__21_48_10__78490514
9,full,0.04,0.2,0.03,0.03,0.26,0.03,0.05,0.28,0.2,2026_02_06__21_48_10__78490514
10,prep,0.02,0.08,0.01,0.01,0.09,0.01,0.02,0.11,0.05,2026_02_06__21_48_10__78490514
10,full,0.08,0.26,0.04,0.06,0.32,0.04,0.06,0.37,0.26,2026_02_06__21_48_10__78490514
12,prep,0.08,0.12,0.03,0.05,0.13,0.03,0.03,0.14,0.06,2026_02_06__21_48_10__78490514
12,full,0.34,0.49,0.13,0.23,0.51,0.12,0.13,0.55,0.3,2026_02_06__21_48_10__78490514
14,prep,0.37,0.26,0.14,0.22,0.21,0.16,0.11,0.17,0.08,2026_02_06__21_48_10__78490514
14,full,1.67,1.17,0.56,1.15,0.91,0.53,0.44,0.9,0.48,2026_02_06__21_48_10__78490514
16,prep,1.67,0.7,0.62,0.96,0.41,0.69,0.47,0.25,0.14,2026_02_06__21_48_10__78490514
16,full,8.2,3.9,2.55,5.66,1.89,2.4,1.78,1.28,0.82,2026_02_06__21_48_10__78490514
18,prep,7.29,2.85,2.83,4.47,1.3,3.15,2.3,0.64,0.51,2026_02_06__21_48_10__78490514
18,full,39.56,14.59,11.69,28.39,4.73,11.09,8.84,3.39,2.73,2026_02_06__21_48_10__78490514
20,prep,33.09,12.02,13.35,20.48,7.17,16.22,12.37,2.85,2.53,2026_02_06__21_48_10__78490514
20,full,192.47,63.17,59.79,143.11,17.02,60.41,48.67,11.74,10.41,2026_02_06__21_48_10__78490514
22,prep,,,61.67,,30.85,79.41,60.47,26.81,18.77,2026_02_06__21_48_10__78490514
22,full,,,304.5,,114.04,320.88,239.82,108.32,86.31,2026_02_06__21_48_10__78490514
24,prep,,,273.77,,122.35,295.1,198.43,106.27,73.07,2026_02_06__21_48_10__78490514
24,full,,,1522.58,,510.03,1536.4,946.08,499.13,368.97,2026_02_06__21_48_10__78490514
