n,stage,scalar,scalar_parallel,simd,simd_generic,simd_parallel,grid,grid_fused,grid_parallel,grid_parallel_fused,timestamp
8,prep,0.01,0.06,0.0,0.0,0.06,0.0,0.01,0.07,0.04,2026_02_06__21_42_10__78130919
8,full,0.02,0.18,0.02,0.02,0.21,0.02,0.04,0.32,0.18,2026_02_06__21_42_10__78130919
9,prep,0.01,0.07,0.01,0.01,0.07,0.01,0.01,0.08,0.05,2026_02_06__21_42_10__78130919
9,full,0.04,0.25,0.03,0.03,0.32,0.03,0.05,0.34,0.23,2026_02_06__21_42_10__78130919
10,prep,0.02,0.08,0.01,0.01,0.09,0.01,0.01,0.1,0.05,2026_02_06__21_42_10__78130919
10,full,0.08,0.29,0.04,0.06,0.37,0.04,0.06,0.45,0.25,2026_02_06__21_42_10__78130919
12,prep,0.08,0.13,0.03,0.05,0.16,0.03,0.03,0.13,0.06,2026_02_06__21_42_10__78130919
12,full,0.34,0.51,0.13,0.23,0.61,0.12,0.13,0.51,0.3,2026_02_06__21_42_10__78130919
14,prep,0.36,0.28,0.14,0.22,0.2,0.16,0.11,0.2,0.08,2026_02_06__21_42_10__78130919
14,full,1.64,1.22,0.56,1.13,0.95,0.53,0.43,0.81,0.51,2026_02_06__21_42_10__78130919
16,prep,1.63,0.76,0.62,0.95,0.34,0.68,0.45,0.28,0.8,2026_02_06__21_42_10__78130919
16,full,8.01,3.57,2.47,5.48,1.43,2.37,1.76,1.31,0.84,2026_02_06__21_42_10__78130919
18,prep,7.31,2.98,2.8,4.39,1.28,3.08,2.25,0.78,0.44,2026_02_06__21_42_10__78130919
18,full,38.87,14.75,11.59,28.34,4.16,10.94,8.67,2.97,2.43,2026_02_06__21_42_10__78130919
20,prep,32.8,12.52,13.36,20.39,6.5,16.07,12.24,2.76,2.49,2026_02_06__21_42_10__78130919
20,full,189.36,64.0,59.58,144.04,19.37,60.37,48.09,12.5,10.77,2026_02_06__21_42_10__78130919
22,prep,,,61.68,,30.4,68.18,49.21,25.71,17.35,2026_02_06__21_42_10__78130919
22,full,,,303.85,,113.6,304.17,224.28,106.17,83.01,2026_02_06__21_42_10__78130919
24,prep,,,272.79,,122.34,295.76,214.5,107.87,75.26,2026_02_06__21_42_10__78130919
24,full,,,1520.96,,508.34,1538.35,1018.32,481.33,374.61,2026_02_06__21_42_10__78130919
