n,stage,scalar,scalar_parallel,simd,simd_generic,simd_parallel,grid,grid_fused,grid_parallel,grid_parallel_fused,timestamp
8,prep,0.01,0.06,0.0,0.01,0.06,0.01,0.01,0.08,0.04,2026_02_06__22_04_41__79481862
8,full,0.02,0.22,0.02,0.02,0.25,0.02,0.04,0.37,0.19,2026_02_06__22_04_41__79481862
9,prep,0.01,0.07,0.01,0.01,0.08,0.01,0.01,0.1,0.04,2026_02_06__22_04_41__79481862
9,full,0.04,0.2,0.03,0.03,0.33,0.03,0.05,0.33,0.2,2026_02_06__22_04_41__79481862
10,prep,0.02,0.08,0.01,0.01,0.08,0.01,0.01,0.22,0.05,2026_02_06__22_04_41__79481862
10,full,0.08,0.29,0.04,0.06,0.37,0.04,0.06,0.42,0.28,2026_02_06__22_04_41__79481862
12,prep,0.08,0.12,0.03,0.05,0.13,0.04,0.03,0.12,0.06,2026_02_06__22_04_41__79481862
12,full,0.34,0.55,0.12,0.23,0.55,0.12,0.13,0.57,0.33,2026_02_06__22_04_41__79481862
14,prep,0.37,0.27,0.14,0.22,0.24,0.16,0.11,0.2,0.08,2026_02_06__22_04_41__79481862
14,full,1.66,1.23,0.56,1.15,0.85,0.53,0.45,0.92,0.5,2026_02_06__22_04_41__79481862
16,prep,1.66,0.74,0.62,0.96,0.36,0.7,0.47,0.27,0.18,2026_02_06__22_04_41__79481862
16,full,8.2,3.59,2.52,5.53,1.39,2.39,1.78,1.3,0.79,2026_02_06__22_04_41__79481862
18,prep,7.31,2.87,2.85,4.49,1.47,3.13,2.29,0.64,0.46,2026_02_06__22_04_41__79481862
18,full,39.65,14.64,11.71,28.46,4.1,11.13,8.84,3.12,2.5,2026_02_06__22_04_41__79481862
20,prep,33.46,12.25,13.54,20.48,6.44,16.28,12.0,2.43,2.23,2026_02_06__22_04_41__79481862
20,full,192.44,63.46,59.7,142.69,19.88,60.4,44.71,13.67,11.98,2026_02_06__22_04_41__79481862
22,prep,,,61.41,,31.08,69.72,49.6,25.83,17.48,2026_02_06__22_04_41__79481862
22,full,,,304.99,,114.3,305.6,214.0,106.85,84.92,2026_02_06__22_04_41__79481862
24,prep,,,273.82,,122.24,302.41,222.25,110.9,78.73,2026_02_06__22_04_41__79481862
24,full,,,1520.68,,510.69,1550.36,1090.5,490.8,382.23,2026_02_06__22_04_41__79481862
