n,stage,scalar,scalar_parallel,simd,simd_generic,simd_parallel,grid,grid_fused,grid_parallel,grid_parallel_fused,timestamp
8,prep,0.01,0.07,0.01,0.01,0.07,0.01,0.01,0.08,0.07,2026_02_06__21_10_56__76256465
8,full,0.03,0.25,0.02,0.02,0.26,0.03,0.05,0.26,0.23,2026_02_06__21_10_56__76256465
9,prep,0.01,0.06,0.01,0.01,0.08,0.01,0.01,0.12,0.04,2026_02_06__21_10_56__76256465
9,full,0.04,0.22,0.03,0.03,0.28,0.03,0.05,0.32,0.21,2026_02_06__21_10_56__76256465
10,prep,0.02,0.08,0.01,0.01,0.09,0.01,0.01,0.1,0.05,2026_02_06__21_10_56__76256465
10,full,0.08,0.32,0.04,0.06,0.35,0.04,0.06,0.38,0.22,2026_02_06__21_10_56__76256465
12,prep,0.08,0.13,0.03,0.05,0.13,0.03,0.03,0.14,0.06,2026_02_06__21_10_56__76256465
12,full,0.34,0.59,0.12,0.23,0.55,0.12,0.14,0.56,0.3,2026_02_06__21_10_56__76256465
14,prep,0.36,0.3,0.14,0.22,0.19,0.16,0.11,0.19,0.08,2026_02_06__21_10_56__76256465
14,full,1.64,1.23,0.56,1.14,0.92,0.54,0.44,0.84,0.49,2026_02_06__21_10_56__76256465
16,prep,1.64,0.72,0.62,0.96,0.34,0.7,0.47,0.34,0.14,2026_02_06__21_10_56__76256465
16,full,8.06,3.56,2.51,5.53,1.36,2.39,1.8,1.18,0.91,2026_02_06__21_10_56__76256465
18,prep,7.25,2.95,2.86,4.54,2.38,3.13,2.41,0.71,0.45,2026_02_06__21_10_56__76256465
18,full,39.31,14.77,11.7,28.46,3.97,11.09,8.93,3.19,2.31,2026_02_06__21_10_56__76256465
20,prep,32.71,12.18,13.39,20.47,12.09,16.17,12.38,3.38,2.94,2026_02_06__21_10_56__76256465
20,full,191.69,63.37,59.87,143.22,19.4,60.16,48.71,12.27,10.47,2026_02_06__21_10_56__76256465
22,prep,,,61.76,,30.02,69.0,50.8,25.05,17.29,2026_02_06__21_10_56__76256465
22,full,,,303.71,,117.41,305.23,218.62,108.06,82.73,2026_02_06__21_10_56__76256465
24,prep,,,273.76,,120.28,297.05,213.87,106.71,73.32,2026_02_06__21_10_56__76256465
24,full,,,1524.78,,508.16,1539.42,1078.72,479.21,372.98,2026_02_06__21_10_56__76256465
