n,stage,scalar,scalar_parallel,simd,simd_generic,simd_parallel,grid,grid_fused,grid_parallel,grid_parallel_fused,timestamp
8,prep,0.01,0.06,0.0,0.01,0.07,0.01,0.01,0.07,0.04,2026_02_06__22_34_47__81287652
8,full,0.03,0.2,0.02,0.02,0.22,0.02,0.04,0.27,0.18,2026_02_06__22_34_47__81287652
9,prep,0.01,0.07,0.01,0.01,0.08,0.01,0.01,0.09,0.06,2026_02_06__22_34_47__81287652
9,full,0.04,0.27,0.03,0.04,0.33,0.03,0.05,0.41,0.25,2026_02_06__22_34_47__81287652
10,prep,0.02,0.08,0.01,0.01,0.09,0.01,0.01,0.1,0.05,2026_02_06__22_34_47__81287652
10,full,0.08,0.3,0.04,0.06,0.44,0.05,0.07,0.36,0.27,2026_02_06__22_34_47__81287652
12,prep,0.08,0.13,0.03,0.05,0.12,0.03,0.03,0.14,0.06,2026_02_06__22_34_47__81287652
12,full,0.35,0.52,0.13,0.24,0.88,0.13,0.14,0.65,0.44,2026_02_06__22_34_47__81287652
14,prep,0.37,0.36,0.15,0.22,0.23,0.16,0.11,0.17,0.08,2026_02_06__22_34_47__81287652
14,full,1.67,1.26,0.56,1.15,0.89,0.54,0.45,0.81,0.52,2026_02_06__22_34_47__81287652
16,prep,1.67,0.71,0.62,0.96,0.35,0.7,0.46,0.26,0.2,2026_02_06__22_34_47__81287652
16,full,8.07,3.54,2.52,5.54,1.42,2.4,1.78,1.29,0.87,2026_02_06__22_34_47__81287652
18,prep,7.3,2.86,2.84,4.46,1.18,3.12,2.27,0.68,0.53,2026_02_06__22_34_47__81287652
18,full,39.22,14.61,11.72,28.45,3.99,11.1,8.79,3.57,2.6,2026_02_06__22_34_47__81287652
20,prep,33.31,11.92,13.23,20.36,8.98,15.89,11.56,2.62,2.43,2026_02_06__22_34_47__81287652
20,full,192.2,62.82,59.6,142.44,22.97,59.61,43.1,13.35,10.72,2026_02_06__22_34_47__81287652
22,prep,,,61.47,,31.11,71.51,49.83,25.35,17.76,2026_02_06__22_34_47__81287652
22,full,,,303.98,,114.92,308.7,200.08,107.43,83.53,2026_02_06__22_34_47__81287652
24,prep,,,272.67,,121.35,298.36,217.12,109.51,76.97,2026_02_06__22_34_47__81287652
24,full,,,1521.67,,508.01,1537.45,1024.53,489.15,376.05,2026_02_06__22_34_47__81287652
