n,stage,scalar,scalar_parallel,simd,simd_generic,simd_parallel,grid,grid_fused,grid_parallel,grid_parallel_fused,timestamp
8,prep,0.01,0.05,0.0,0.01,0.06,0.01,0.01,0.07,0.04,2026_02_06__22_22_20__80540502
8,full,0.03,0.19,0.02,0.02,0.22,0.02,0.04,0.3,0.18,2026_02_06__22_22_20__80540502
9,prep,0.01,0.06,0.01,0.01,0.12,0.01,0.01,0.1,0.05,2026_02_06__22_22_20__80540502
9,full,0.04,0.2,0.03,0.04,0.32,0.03,0.05,0.37,0.22,2026_02_06__22_22_20__80540502
10,prep,0.02,0.08,0.01,0.01,0.09,0.01,0.01,0.1,0.05,2026_02_06__22_22_20__80540502
10,full,0.08,0.26,0.04,0.06,0.4,0.05,0.07,0.4,0.25,2026_02_06__22_22_20__80540502
12,prep,0.08,0.12,0.03,0.05,0.29,0.03,0.03,0.12,0.05,2026_02_06__22_22_20__80540502
12,full,0.34,0.49,0.13,0.23,0.59,0.12,0.14,0.57,0.32,2026_02_06__22_22_20__80540502
14,prep,0.36,0.26,0.14,0.22,0.2,0.16,0.11,0.23,0.08,2026_02_06__22_22_20__80540502
14,full,1.67,1.17,0.57,1.15,0.84,0.55,0.45,0.88,0.52,2026_02_06__22_22_20__80540502
16,prep,1.68,0.7,0.62,0.96,0.51,0.69,0.46,0.26,0.14,2026_02_06__22_22_20__80540502
16,full,8.19,3.53,2.51,5.53,1.62,2.4,1.79,1.39,0.87,2026_02_06__22_22_20__80540502
18,prep,7.37,2.84,2.84,4.47,1.35,3.13,2.3,0.65,0.5,2026_02_06__22_22_20__80540502
18,full,39.85,14.49,11.71,28.46,4.36,11.1,8.84,3.28,2.55,2026_02_06__22_22_20__80540502
20,prep,33.47,12.04,13.22,20.38,7.76,14.46,10.23,2.48,2.1,2026_02_06__22_22_20__80540502
20,full,192.49,62.51,59.12,142.24,22.7,57.65,41.27,13.14,11.06,2026_02_06__22_22_20__80540502
22,prep,,,61.72,,30.64,82.3,63.92,26.73,18.84,2026_02_06__22_22_20__80540502
22,full,,,303.85,,115.18,324.69,245.07,110.32,86.23,2026_02_06__22_22_20__80540502
24,prep,,,272.71,,123.44,294.56,199.96,108.1,74.06,2026_02_06__22_22_20__80540502
24,full,,,1520.38,,511.71,1540.35,945.11,479.58,371.0,2026_02_06__22_22_20__80540502
