n,value,execute,execute_simd,execute_simd_v2,execute_fused_v3,qiskit_ms,timestamp
10,4.7,0.1,0.31,0.4,0.33,1.98,760774941559000
11,4.7,0.19,0.39,0.48,0.43,2.55,760774941559000
12,4.7,0.41,0.6,0.62,0.59,3.62,760774941559000
13,4.7,0.89,0.93,0.74,0.95,6.65,760774941559000
14,4.7,1.98,1.54,1.04,1.43,17.95,760774941559000
15,4.7,4.46,3.23,1.64,2.65,39.09,760774941559000
16,4.7,9.73,5.24,2.48,5.39,70.14,760774941559000
17,4.7,21.62,10.55,4.15,11.02,169.4,760774941559000
18,4.7,47.66,23.06,8.05,24.45,331.73,760774941559000
19,4.7,106.49,50.87,20.33,52.59,681.35,760774941559000
20,4.7,236.82,103.13,32.76,107.99,948.65,760774941559000
21,4.7,506.36,217.07,82.15,244.39,3001.23,760774941559000
22,4.7,1109.21,474.63,163.63,509.89,6652.82,760774941559000
23,4.7,2460.0,978.07,337.57,1101.81,15463.42,760774941559000
24,4.7,5290.06,2152.38,720.39,2545.52,31934.54,760774941559000
25,4.7,11263.15,4440.69,1484.04,5171.35,68186.97,760774941559000
26,4.7,24143.54,9564.89,3098.65,10930.72,202863.72,760774941559000
27,4.7,51950.97,20466.69,6684.07,24153.3,379535.92,760774941559000
28,4.7,110317.78,45129.47,13940.88,50155.59,845460.63,760774941559000
