n,value,execute,execute_simd,execute_simd_v2,execute_fused_v3,qiskit_ms,timestamp
3,4.7,0.03,0.01,0.01,0.03,0.43,775836020903000
4,4.7,0.02,0.01,0.01,0.08,0.61,775836020903000
5,4.7,0.02,0.01,0.01,0.22,0.8,775836020903000
6,4.7,0.03,0.02,0.02,0.11,1.08,775836020903000
7,4.7,0.03,0.02,0.02,0.15,1.36,775836020903000
8,4.7,0.04,0.04,0.05,0.19,1.77,775836020903000
9,4.7,0.15,0.07,0.09,0.28,2.01,775836020903000
10,4.7,0.15,0.66,0.41,0.39,2.46,775836020903000
11,4.7,0.27,0.53,0.48,0.46,2.84,775836020903000
12,4.7,0.51,0.7,0.62,0.73,3.53,775836020903000
13,4.7,0.98,1.04,0.79,1.11,4.55,775836020903000
14,4.7,2.09,1.51,1.12,1.45,5.95,775836020903000
15,4.7,4.55,2.61,1.74,2.94,11.7,775836020903000
16,4.7,9.93,4.12,3.43,5.62,14.8,775836020903000
17,4.7,22.12,12.07,5.98,12.04,19.49,775836020903000
18,4.7,50.24,15.7,8.56,25.32,27.96,775836020903000
19,4.7,107.32,32.5,16.95,54.26,46.35,775836020903000
20,4.7,239.03,93.64,84.44,125.07,81.4,775836020903000
21,4.7,522.47,160.69,84.83,268.52,177.85,775836020903000
22,4.7,1142.58,347.99,200.09,573.12,319.04,775836020903000
23,4.7,2504.08,687.51,364.79,1166.71,604.53,775836020903000
24,4.7,5322.82,1470.27,809.72,2568.26,1236.37,775836020903000
25,4.7,11601.29,3483.05,1696.84,5515.67,2653.9,775836020903000
26,4.7,24933.72,7585.81,3533.5,11561.31,4927.03,775836020903000
27,4.7,52852.1,15789.87,7293.09,25273.78,10102.62,775836020903000
