n,value,execute,execute_simd,execute_simd_v2,execute_fused_v3,timestamp
10,42.0,0.1,0.29,0.36,0.37,758977748372000
12,123.0,0.41,0.55,0.6,0.61,758977748372000
15,456.0,4.48,2.54,1.6,2.75,758977748372000
18,789.0,48.37,22.47,7.79,24.3,758977748372000
