n,value,generic_ms,simd_v2_ms,fused_v3_ms,grid_2row_ms,grid_4row_ms,timestamp
20,4.7,47.99,38.16,1.46,24.12,31.66,837416301656000
22,4.7,213.72,153.94,6.19,90.42,62.95,837416301656000
24,4.7,937.74,463.9,28.9,408.9,369.67,837416301656000
