n,value,pure_v2_ms,pure_v3_ms,hybrid_ms,timestamp
10,4.7,0.49,0.66,0.9,813931577299000
11,4.7,2.1,0.59,0.55,813931577299000
12,4.7,1.22,0.99,0.67,813931577299000
13,4.7,1.01,0.9,0.92,813931577299000
14,4.7,1.88,1.68,1.54,813931577299000
15,4.7,2.82,2.31,2.6,813931577299000
16,4.7,5.79,4.83,4.37,813931577299000
17,4.7,26.7,10.07,16.15,813931577299000
18,4.7,23.96,17.56,26.97,813931577299000
19,4.7,53.03,34.96,35.49,813931577299000
20,4.7,91.9,65.73,38.47,813931577299000
21,4.7,80.61,61.74,63.54,813931577299000
22,4.7,189.96,133.62,205.24,813931577299000
23,4.7,484.95,314.76,329.3,813931577299000
24,4.7,933.34,654.05,722.07,813931577299000
25,4.7,1833.76,1487.78,1712.33,813931577299000
26,4.7,3933.33,2940.62,3206.24,813931577299000
27,4.7,8507.37,6293.66,6733.3,813931577299000
